hash,scenario
-1565093546,NONE
-81093480,CM+JN
1987428992,ALL
221540823,CE+CM
-1356651513,NONE
-344784369,JN
956635351,CE+CM
1366826549,JN
1304164331,CM
258469016,ALL
297987607,JN
-2072342976,CE+JN
847896587,NONE
1108822365,CE+JN
1905035361,NONE
-284378312,NONE
-1075002949,NONE
2012515054,NONE
153480157,NONE
-1177599530,NONE
-1268932246,CE+JN
65298345,NONE
-80671000,ALL
228567177,CM+JN
-1762543361,ALL
373759920,ALL
-1768722331,NONE
-1715760269,NONE
1514384102,NONE
2122127325,ALL
1384623350,ALL
339814100,ALL
698390592,NONE
-225614213,ALL
633497253,CM
-1745498853,NONE
-1858944976,ALL
-196979998,ALL
-1129188361,ALL
487983122,CM
-482067263,CM
262936664,CM
47636210,NONE
-1647764975,CE+CM
1938767305,CE+JN
-2032417465,CE+CM
-8698669,CE+CM
838052480,CE+CM
-89233429,CE+CM
-629880153,CE+CM
1470062157,CM
1980852946,NONE
-2144006574,CE+CM
1263639156,CE+CM
-1476972168,CE+CM
-567434126,CE+CM
-549533728,CE+CM
-1894865516,CE+JN
-2125690359,NONE
-1911586063,CM
1180742307,CE+CM
567655420,NONE
137251895,ALL
-1580464185,CM
1906853669,CM
-2021504995,CM
-697705814,NONE
1586810399,NONE
-1230341775,CE
163779068,NONE
2057841768,NONE
482870179,CM
-1946636838,NONE
-1166944363,NONE
968761347,NONE
1343117872,NONE
1029993939,CM
1050589305,NONE
-1068830948,CE+JN
-521893393,CE+JN
189777030,NONE
1534307355,CE+JN
-150751475,NONE
-1449796791,NONE
1179550449,CE+CM
1582467016,NONE
-250334194,CE+CM
-1285030881,ALL
386499483,NONE
-68206882,CM+JN
1468160412,JN
-1193225152,NONE
-432150414,CM+JN
1602397742,CE+CM
-1269850773,NONE
726944700,CM
381475970,NONE
-49612329,NONE
-1598017331,NONE
-1835572031,CM+JN
-1039996343,NONE
710090656,CM+JN
-233489930,ALL
-1087505429,CM+JN
1980693571,CM
2092501987,CM
2133071895,NONE
1182783741,ALL
345246634,CM+JN
795769078,NONE
-856619513,NONE
2035451568,ALL
1720786818,ALL
